state_name,district_name,disability_type_name,age_group,male_count,female_count,total_count
Andaman And Nicobar Islands,Nicobars,Acid Attack Victim,35-60,0,1,1
Andaman And Nicobar Islands,Nicobars,Blindness,15-35,4,0,4
Andaman And Nicobar Islands,Nicobars,Blindness,35-60,16,3,19
Andaman And Nicobar Islands,Nicobars,Blindness,6-15,1,1,2
Andaman And Nicobar Islands,Nicobars,Blindness,60-80,3,2,5
Andaman And Nicobar Islands,Nicobars,Cerebral Palsy,6-15,5,3,8
Andaman And Nicobar Islands,Nicobars,Cerebral Palsy,35-60,0,1,1
Andaman And Nicobar Islands,Nicobars,Cerebral Palsy,15-35,3,1,4
Andaman And Nicobar Islands,Nicobars,Hearing Impairment,6-15,4,2,6
Andaman And Nicobar Islands,Nicobars,Hearing Impairment,15-35,13,3,16
Andaman And Nicobar Islands,Nicobars,Hearing Impairment,35-60,18,10,28
Andaman And Nicobar Islands,Nicobars,Hearing Impairment,60-80,11,2,13
Andaman And Nicobar Islands,Nicobars,Hearing Impairment,80+,1,1,2
Andaman And Nicobar Islands,Nicobars,Hemophilia,60-80,1,0,1
Andaman And Nicobar Islands,Nicobars,Intellectual Disability,6-15,3,3,6
Andaman And Nicobar Islands,Nicobars,Intellectual Disability,35-60,1,2,3
Andaman And Nicobar Islands,Nicobars,Intellectual Disability,15-35,3,4,7
Andaman And Nicobar Islands,Nicobars,Locomotor Disability,0-6,1,1,2
Andaman And Nicobar Islands,Nicobars,Locomotor Disability,15-35,22,10,32
Andaman And Nicobar Islands,Nicobars,Locomotor Disability,35-60,47,18,65
Andaman And Nicobar Islands,Nicobars,Locomotor Disability,6-15,5,2,7
Andaman And Nicobar Islands,Nicobars,Locomotor Disability,60-80,13,4,17
Andaman And Nicobar Islands,Nicobars,Locomotor Disability,80+,2,3,5
Andaman And Nicobar Islands,Nicobars,Low Vision,6-15,2,0,2
Andaman And Nicobar Islands,Nicobars,Low Vision,35-60,4,4,8
Andaman And Nicobar Islands,Nicobars,Low Vision,15-35,1,0,1
Andaman And Nicobar Islands,Nicobars,Mental Illness,0-6,1,0,1
Andaman And Nicobar Islands,Nicobars,Mental Illness,15-35,15,15,30
Andaman And Nicobar Islands,Nicobars,Mental Illness,35-60,7,5,12
Andaman And Nicobar Islands,Nicobars,Mental Illness,6-15,5,8,13
Andaman And Nicobar Islands,Nicobars,Multiple Sclerosis,6-15,1,0,1
Andaman And Nicobar Islands,Nicobars,Muscular Dystrophy,60-80,2,1,3
Andaman And Nicobar Islands,Nicobars,Muscular Dystrophy,15-35,1,0,1
Andaman And Nicobar Islands,Nicobars,Muscular Dystrophy,35-60,2,0,2
Andaman And Nicobar Islands,Nicobars,Speech and Language Disability,80+,0,1,1
Andaman And Nicobar Islands,Nicobars,Speech and Language Disability,6-15,0,2,2
Andaman And Nicobar Islands,Nicobars,Speech and Language Disability,35-60,4,4,8
Andaman And Nicobar Islands,Nicobars,Speech and Language Disability,15-35,4,6,10
Andaman And Nicobar Islands,North And Middle Andaman,Acid Attack Victim,35-60,1,0,1
Andaman And Nicobar Islands,North And Middle Andaman,Autism Spectrum Disorder,0-6,2,3,5
Andaman And Nicobar Islands,North And Middle Andaman,Autism Spectrum Disorder,15-35,2,0,2
Andaman And Nicobar Islands,North And Middle Andaman,Autism Spectrum Disorder,6-15,10,5,15
Andaman And Nicobar Islands,North And Middle Andaman,Blindness,60-80,13,8,21
Andaman And Nicobar Islands,North And Middle Andaman,Blindness,80+,3,0,3
Andaman And Nicobar Islands,North And Middle Andaman,Blindness,6-15,3,1,4
Andaman And Nicobar Islands,North And Middle Andaman,Blindness,35-60,38,26,64
Andaman And Nicobar Islands,North And Middle Andaman,Blindness,15-35,14,20,34
Andaman And Nicobar Islands,North And Middle Andaman,Cerebral Palsy,0-6,3,3,6
Andaman And Nicobar Islands,North And Middle Andaman,Cerebral Palsy,15-35,17,7,24
Andaman And Nicobar Islands,North And Middle Andaman,Cerebral Palsy,35-60,12,5,17
Andaman And Nicobar Islands,North And Middle Andaman,Cerebral Palsy,6-15,18,9,27
Andaman And Nicobar Islands,North And Middle Andaman,Cerebral Palsy,60-80,1,0,1
Andaman And Nicobar Islands,North And Middle Andaman,Chronic Neurological Conditions,6-15,1,0,1
Andaman And Nicobar Islands,North And Middle Andaman,Chronic Neurological Conditions,60-80,3,0,3
Andaman And Nicobar Islands,North And Middle Andaman,Chronic Neurological Conditions,35-60,5,4,9
Andaman And Nicobar Islands,North And Middle Andaman,Chronic Neurological Conditions,15-35,3,1,4
Andaman And Nicobar Islands,North And Middle Andaman,Dwarfism,15-35,4,1,5
Andaman And Nicobar Islands,North And Middle Andaman,Dwarfism,35-60,3,2,5
Andaman And Nicobar Islands,North And Middle Andaman,Hearing Impairment,60-80,30,13,43
Andaman And Nicobar Islands,North And Middle Andaman,Hearing Impairment,6-15,5,2,7
Andaman And Nicobar Islands,North And Middle Andaman,Hearing Impairment,35-60,70,47,117
Andaman And Nicobar Islands,North And Middle Andaman,Hearing Impairment,15-35,42,47,89
Andaman And Nicobar Islands,North And Middle Andaman,Hearing Impairment,0-6,7,1,8
Andaman And Nicobar Islands,North And Middle Andaman,Hearing Impairment,80+,4,2,6
Andaman And Nicobar Islands,North And Middle Andaman,Hemophilia,35-60,3,3,6
Andaman And Nicobar Islands,North And Middle Andaman,Hemophilia,15-35,2,0,2
Andaman And Nicobar Islands,North And Middle Andaman,Intellectual Disability,0-6,4,4,8
Andaman And Nicobar Islands,North And Middle Andaman,Intellectual Disability,15-35,51,34,85
Andaman And Nicobar Islands,North And Middle Andaman,Intellectual Disability,35-60,10,10,20
Andaman And Nicobar Islands,North And Middle Andaman,Intellectual Disability,6-15,29,23,52
Andaman And Nicobar Islands,North And Middle Andaman,Intellectual Disability,60-80,1,0,1
Andaman And Nicobar Islands,North And Middle Andaman,Leprosy cured,60-80,2,0,2
Andaman And Nicobar Islands,North And Middle Andaman,Leprosy cured,35-60,7,0,7
Andaman And Nicobar Islands,North And Middle Andaman,Locomotor Disability,80+,7,1,8
Andaman And Nicobar Islands,North And Middle Andaman,Locomotor Disability,60-80,68,16,84
Andaman And Nicobar Islands,North And Middle Andaman,Locomotor Disability,6-15,27,9,36
Andaman And Nicobar Islands,North And Middle Andaman,Locomotor Disability,35-60,302,135,437
Andaman And Nicobar Islands,North And Middle Andaman,Locomotor Disability,15-35,96,72,168
Andaman And Nicobar Islands,North And Middle Andaman,Locomotor Disability,0-6,5,4,9
Andaman And Nicobar Islands,North And Middle Andaman,Low Vision,80+,2,0,2
Andaman And Nicobar Islands,North And Middle Andaman,Low Vision,60-80,8,1,9
Andaman And Nicobar Islands,North And Middle Andaman,Low Vision,6-15,6,3,9
Andaman And Nicobar Islands,North And Middle Andaman,Low Vision,35-60,38,17,55
Andaman And Nicobar Islands,North And Middle Andaman,Low Vision,15-35,23,14,37
Andaman And Nicobar Islands,North And Middle Andaman,Low Vision,0-6,1,0,1
Andaman And Nicobar Islands,North And Middle Andaman,Mental Illness,60-80,0,1,1
Andaman And Nicobar Islands,North And Middle Andaman,Mental Illness,6-15,23,14,37
Andaman And Nicobar Islands,North And Middle Andaman,Mental Illness,35-60,41,26,67
Andaman And Nicobar Islands,North And Middle Andaman,Mental Illness,15-35,78,52,130
Andaman And Nicobar Islands,North And Middle Andaman,Multiple Disabilities,15-35,6,5,11
Andaman And Nicobar Islands,North And Middle Andaman,Multiple Disabilities,35-60,5,4,9
Andaman And Nicobar Islands,North And Middle Andaman,Multiple Disabilities,6-15,5,1,6
Andaman And Nicobar Islands,North And Middle Andaman,Multiple Sclerosis,6-15,1,0,1
Andaman And Nicobar Islands,North And Middle Andaman,Multiple Sclerosis,35-60,1,0,1
Andaman And Nicobar Islands,North And Middle Andaman,Multiple Sclerosis,15-35,2,0,2
Andaman And Nicobar Islands,North And Middle Andaman,Muscular Dystrophy,15-35,16,6,22
Andaman And Nicobar Islands,North And Middle Andaman,Muscular Dystrophy,35-60,30,14,44
Andaman And Nicobar Islands,North And Middle Andaman,Muscular Dystrophy,6-15,3,2,5
Andaman And Nicobar Islands,North And Middle Andaman,Muscular Dystrophy,60-80,3,1,4
Andaman And Nicobar Islands,North And Middle Andaman,Parkinson's Disease,35-60,1,1,2
Andaman And Nicobar Islands,North And Middle Andaman,Parkinson's Disease,15-35,1,0,1
Andaman And Nicobar Islands,North And Middle Andaman,Sickle Cell Disease,15-35,2,0,2
Andaman And Nicobar Islands,North And Middle Andaman,Sickle Cell Disease,35-60,0,1,1
Andaman And Nicobar Islands,North And Middle Andaman,Specific Learning Disabilities,6-15,6,6,12
Andaman And Nicobar Islands,North And Middle Andaman,Specific Learning Disabilities,35-60,2,2,4
Andaman And Nicobar Islands,North And Middle Andaman,Specific Learning Disabilities,15-35,4,3,7
Andaman And Nicobar Islands,North And Middle Andaman,Specific Learning Disabilities,0-6,4,1,5
Andaman And Nicobar Islands,North And Middle Andaman,Speech and Language Disability,0-6,2,2,4
